BookID,Title,Star_rating,Price,Quantity
0,A Light in the Attic,3,51.77,22
1,Tipping the Velvet,1,53.74,20
2,Soumission,1,50.1,20
3,Sharp Objects,4,47.82,20
4,Sapiens: A Brief History of Humankind,5,54.23,20
5,The Requiem Red,1,22.65,19
6,The Dirty Little Secrets of Getting Your Dream Job,4,33.34,19
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,19
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,19
9,The Black Maria,1,52.15,19
10,"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,19
11,Shakespeare's Sonnets,4,20.66,19
12,Set Me Free,5,17.46,19
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,19
14,Rip it Up and Start Again,5,35.02,19
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,19
16,Olio,1,23.88,19
17,Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,19
18,Libertarianism for Beginners,2,51.33,19
19,It's Only the Himalayas,2,45.17,19
20,In Her Wake,1,12.84,19
21,How Music Works,2,37.32,19
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,19
23,Chase Me (Paris Nights #2),5,25.27,19
24,Black Dust,5,34.53,19
25,Birdsong: A Story in Pictures,3,54.64,19
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,19
27,Aladdin and His Wonderful Lamp,3,53.13,19
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,40.3,18
29,Wall and Piece,4,44.18,18
30,The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,18
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,18
32,The Elephant Tree,5,23.82,18
33,The Bear and the Piano,1,36.89,18
34,Sophie's World,5,15.94,18
35,Penny Maybe,3,33.29,18
36,Maude (1883-1993):She Grew Up with the country,2,18.02,18
37,"In a Dark, Dark Wood",1,19.63,18
38,Behind Closed Doors,4,52.22,18
39,You can't bury them all: Poems,2,33.63,17
40,Slow States of Collapse: Poems,3,57.31,17
41,Reasons to Stay Alive,2,26.41,17
42,Private Paris (Private #10),5,47.61,17
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,17
44,Without Borders (Wanderlove #1),2,45.07,16
45,When We Collided,1,31.77,16
46,"We Love You, Charlie Freeman",5,50.27,16
47,Untitled Collection: Sabbath Poems 2014,4,14.27,16
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18,16
49,Unicorn Tracks,3,18.78,16
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,16
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,16
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,16
53,This One Summer,4,19.49,16
54,Thirst,5,17.27,16
