BookID,Title,Authors,Category,Price,Quantity
0,Goat Brothers,"By Colton, Larry"," History , General",8.79,22.0
1,The Missing Person,"By Grumbach, Doris"," Fiction , General",4.99,20.0
2,Don't Eat Your Heart Out Cookbook,"By Piscatella, Joseph C."," Cooking , Reference",4.99,20.0
3,When Your Corporate Umbrella Begins to Leak: A Handbook for White Collar Re-Employment,"By Davis, Paul D.",,4.99,20.0
4,Amy Spangler's Breastfeeding : A Parent's Guide,"By Spangler, Amy",,5.32,20.0
5,The Foundation of Leadership: Enduring Principles to Govern Our Lives,"By Short, Bo",,6.06,19.0
6,Chicken Soup for the Soul: 101 Stories to Open the Heart and Rekindle the Spirit,"By Canfield, Jack (COM) and Hansen, Mark Victor (COM)"," Self-help , Personal Growth , Self-Esteem",4.99,19.0
7,Journey Through Heartsongs,"By Stepanek, Mattie J. T."," Poetry , General",19.96,19.0
8,In Search of Melancholy Baby,"By Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W."," Biography & Autobiography , General",4.99,19.0
9,Christmas Cookies,"By Eakin, Katherine M. and Deaman, Joane (EDT)"," Cooking , General",12.98,19.0
10,The Dieter's Guide to Weight Loss During Sex,"By Smith, Richard"," Health & Fitness , Diet & Nutrition , Diets",4.99,19.0
11,Germs : Biological Weapons and America's Secret War,"By Miller, Judith, Engelberg, Stephen, and Broad, William J."," Technology & Engineering , Military Science",4.99,19.0
12,The Genesis of Ethics,"By Visotzky, Burton L."," Religion , Ethics",4.99,19.0
13,The Good Book: Reading the Bible with Mind and Heart,"By Gomes, Peter J."," Religion , Biblical Biography , General",5.29,19.0
14,All over but the Shoutin',"By Bragg, Rick"," Biography & Autobiography , Personal Memoirs",4.89,19.0
15,Oilers and Sweepers and Other Stories,"By Dennison, George",,5.0,19.0
16,Prince William,"By Garner, Valerie",,4.99,19.0
17,The Emperor's New Mind,"By Penrose, Roger"," Philosophy , General",4.99,19.0
18,Touching Fire: Erotic Writings by Women,"By Thornton, Louise, Sturtevant, Jan, and Sumrall, Amber Coverdale (EDT)",,5.29,19.0
19,Hill Rat: Blowing the Lid Off Congress,"By Jackley, John L."," Political Science , General",4.99,19.0
20,The Great ABC Treasure Hunt: A Hidden Picture Alphabet Book (Time-Life Early Learning Program),"By Time-Life for Children (Firm) (COR), Singer, Muff, and Hoggan, Pat (ILT)"," Juvenile Nonfiction , General",5.29,19.0
21,Personality of the Cat,"By Aymar, Brandt (EDT)"," Pets , Cats , General",5.41,19.0
22,Murdering Mr. Monti: A Merry Little Tale of Sex and Violence,"By Viorst, Judith"," Fiction , General",5.29,19.0
23,In Re Alger Hiss:  Petition for a Writ of Error Coram Nobis,By Edith Tiger,,10.99,19.0
24,Black Holes and Baby Universes and Other Essays,"By Hawking, Stephen W."," Biography & Autobiography , General",5.29,19.0
25,Relativity: The Special and the General Theory,By Albert Einstein,,8.79,19.0
26,Betrayal : How the Clinton Administration Undermined American Security,"By Gertz, Bill"," Political Science , General",4.99,19.0
27,Shadow Song,"By Kay, Terry"," Fiction , General",4.99,19.0
28,Undercurrents: A Therapist's Reckoning With Her Own Depression,"By Manning, Martha"," Psychology , General",5.29,18.0
29,The Road Less Traveled and Beyond: Spiritual Growth in an Age of Anxiety,"By Peck, M. Scott"," Psychology , Psychopathology , Anxieties & Phobias",4.99,18.0
30,The Kiss: A Memoir,"By Harrison, Kathryn"," Family & Relationships , Love & Romance",5.29,18.0
31,Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,"By Haufler, Hervie"," History , Military , World War II",5.29,18.0
32,"A Manual for Writers of Term Papers, Theses, and Dissertations, Fifth Edition","By Turabian, Kate L.",,4.99,18.0
33,"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill","By Suskind, Ron"," Political Science , Government , Executive Branch",8.79,18.0
34,Best New American Voices 2003,"By Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)"," Fiction , Anthologies (multiple authors)",5.29,18.0
35,Escape from the CIA: How the CIA Won and Lost the Most Important KGB Spy Ever to Defect to the U.S.,"By Kessler, Ronald"," Political Science , General",5.29,18.0
36,Meditations: On the Monk Who Dwells in Daily Life,"By Moore, Thomas"," Religion , General",4.99,18.0
37,Links Lore,"By Stevens, Peter F."," Sports & Recreation , History",5.29,18.0
38,Jackie by Josie: A Novel,"By Preston, Caroline"," Fiction , Literary",4.99,18.0
39,Joshua and the City,"By Girzone, Joseph F."," Religion , Inspirational",5.29,17.0
40,The Book of Courtly Love: The Passionate Code of the Troubadours,"By Hopkins, Andrea",,5.29,17.0
41,How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness,"By Kushner, Harold S."," Religion , Psychology of Religion",4.99,17.0
42,"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly","By Ornish, Dean and Brown, Shirley Elizabeth (EDT)"," Cooking , Health & Healing , Low Fat",5.29,17.0
43,Majorca: Culture and Life,By Konemann Inc. (EDT)," Photography , Subjects & Themes , Regional",8.83,17.0
44,Written by Herself: Autobiographies of American Women: An Anthology,"By Conway, Jill Ker (EDT)"," Biography & Autobiography , Women",4.99,16.0
45,The Universe of Galaxies,"By Hodge, Paul",,5.29,16.0
46,Ice Bound: A Doctor's Incredible Battle For Survival at the South Pole,"By Nielsen, Jerri and Vollers, Maryanne"," Biography & Autobiography , Women",4.89,16.0
